DEPTH,Northing,Easting,PHI,Vsh,Easting,Northing
 0.1074500E+04,0.6856000E+07,0.5040000E+06,0.2667879E+00,0.7742857E+00,0.1720038E-38,0.1401298E-44,
 0.1075500E+04,0.6856000E+07,0.5040000E+06,0.2305974E+00,0.7457143E+00,0.1720038E-38,0.1401298E-44,
 0.1076500E+04,0.6856000E+07,0.5040000E+06,0.2121010E+00,0.7016667E+00,0.1720038E-38,0.1401298E-44,
 0.1077500E+04,0.6856000E+07,0.5040000E+06,0.2026667E+00,0.7057143E+00,0.1720038E-38,0.1401298E-44,
 0.1078500E+04,0.6856000E+07,0.5040000E+06,0.1867475E+00,0.7033333E+00,0.1720038E-38,0.1401298E-44,
 0.1079500E+04,0.6856000E+07,0.5040000E+06,0.2129351E+00,0.7228571E+00,0.1720038E-38,0.1401298E-44,
 0.1080500E+04,0.6856000E+07,0.5040000E+06,0.2096364E+00,0.7050000E+00,0.1720038E-38,0.1401298E-44,
 0.1081500E+04,0.6856000E+07,0.5040000E+06,0.2298355E+00,0.6985714E+00,0.1720038E-38,0.1401298E-44,
 0.1082500E+04,0.6856000E+07,0.5040000E+06,0.2370101E+00,0.6766667E+00,0.1720038E-38,0.1401298E-44,
 0.1083500E+04,0.6856000E+07,0.5040000E+06,0.2011948E+00,0.7071428E+00,0.1720038E-38,0.1401298E-44,
 0.1084500E+04,0.6856000E+07,0.5040000E+06,0.1872727E+00,0.7085714E+00,0.1720038E-38,0.1401298E-44,
 0.1085500E+04,0.6856000E+07,0.5040000E+06,0.2172222E+00,0.7200000E+00,0.1720038E-38,0.1401298E-44,
 0.1086500E+04,0.6856000E+07,0.5040000E+06,0.2147359E+00,0.6771429E+00,0.1720038E-38,0.1401298E-44,
 0.1087500E+04,0.6856000E+07,0.5040000E+06,0.2181313E+00,0.7583333E+00,0.1720038E-38,0.1401298E-44,
 0.1088500E+04,0.6856000E+07,0.5040000E+06,0.2140260E+00,0.7428572E+00,0.1720038E-38,0.1401298E-44,
 0.1089500E+04,0.6856000E+07,0.5040000E+06,0.2080303E+00,0.7333333E+00,0.1720038E-38,0.1401298E-44,
 0.1090500E+04,0.6856000E+07,0.5040000E+06,0.2039654E+00,0.7728571E+00,0.1720038E-38,0.1401298E-44,
 0.1091500E+04,0.6856000E+07,0.5040000E+06,0.2242684E+00,0.7428572E+00,0.1720038E-38,0.1401298E-44,
 0.1092500E+04,0.6856000E+07,0.5040000E+06,0.2182020E+00,0.7333333E+00,0.1720038E-38,0.1401298E-44,
 0.1093500E+04,0.6856000E+07,0.5040000E+06,0.2084935E+00,0.7485714E+00,0.1720038E-38,0.1401298E-44,
