Easting,Northing,Depth,PHI,Vsh
504000,6856000,932.74,0.240424242,0.67
504000,6856000,932.89,0.238121212,0.72
504000,6856000,933.04,0.237212121,0.71
504000,6856000,933.19,0.232,0.66
504000,6856000,933.35,0.240181818,0.68
504000,6856000,933.5,0.236909091,0.68
504000,6856000,933.65,0.227818182,0.66
504000,6856000,933.8,0.237575758,0.69
504000,6856000,933.96,0.244,0.72
504000,6856000,934.11,0.246666667,0.69
504000,6856000,934.26,0.233212121,0.67
504000,6856000,934.41,0.231454545,0.71
504000,6856000,934.57,0.239757576,0.71
504000,6856000,934.72,0.241818182,0.73
504000,6856000,934.87,0.235393939,0.75
504000,6856000,935.02,0.222848485,0.74
504000,6856000,935.18,0.232606061,0.69
504000,6856000,935.33,0.241333333,0.7
504000,6856000,935.48,0.235757576,0.71
504000,6856000,935.63,0.241757576,0.74
504000,6856000,935.78,0.231333333,0.74
504000,6856000,935.94,0.212787879,0.72
504000,6856000,936.09,0.221333333,0.7
504000,6856000,936.24,0.209575758,0.69
504000,6856000,936.39,0.212363636,0.73
504000,6856000,936.55,0.223393939,0.74
504000,6856000,936.7,0.215878788,0.72
504000,6856000,936.85,0.207878788,0.76
504000,6856000,937,0.222181818,0.75
504000,6856000,937.16,0.244545455,0.72
504000,6856000,937.31,0.244,0.73
504000,6856000,937.46,0.261818182,0.72
504000,6856000,937.61,0.27430303,0.73
504000,6856000,937.77,0.271272727,0.68
504000,6856000,937.92,0.255151515,0.65
504000,6856000,938.07,0.253818182,0.69
504000,6856000,938.22,0.267818182,0.67
504000,6856000,938.38,0.277272727,0.71
504000,6856000,938.53,0.282545455,0.73
504000,6856000,938.68,0.274060606,0.68
504000,6856000,938.83,0.251212121,0.63
504000,6856000,938.99,0.245212121,0.64
504000,6856000,939.14,0.223878788,0.68
504000,6856000,939.29,0.207454545,0.67
504000,6856000,939.44,0.203272727,0.69
504000,6856000,939.59,0.214424242,0.71
504000,6856000,939.75,0.222363636,0.69
504000,6856000,939.9,0.216060606,0.7
504000,6856000,940.05,0.210242424,0.72
504000,6856000,940.2,0.224181818,0.69
504000,6856000,940.36,0.239454545,0.69
504000,6856000,940.51,0.234242424,0.72
504000,6856000,940.66,0.236424242,0.72
504000,6856000,940.81,0.234606061,0.69
504000,6856000,940.97,0.229757576,0.64
504000,6856000,941.12,0.217030303,0.64
504000,6856000,941.27,0.219212121,0.65
504000,6856000,941.42,0.219393939,0.65
504000,6856000,941.58,0.217030303,0.68
504000,6856000,941.73,0.227515152,0.68
504000,6856000,941.88,0.243090909,0.71
504000,6856000,942.03,0.269939394,0.72
504000,6856000,942.19,0.268969697,0.75
504000,6856000,942.34,0.253818182,0.78
504000,6856000,942.49,0.237454545,0.71
504000,6856000,942.64,0.22630303,0.7
504000,6856000,942.8,0.209030303,0.74
504000,6856000,942.95,0.208121212,0.7
504000,6856000,943.1,0.210848485,0.71
504000,6856000,943.25,0.216060606,0.72
504000,6856000,943.4,0.235636364,0.69
504000,6856000,943.56,0.235636364,0.63
504000,6856000,943.71,0.218060606,0.7
504000,6856000,943.86,0.221636364,0.66
504000,6856000,944.01,0.222121212,0.6
504000,6856000,944.17,0.223030303,0.65
504000,6856000,944.32,0.232787879,0.69
504000,6856000,944.47,0.231818182,0.69
504000,6856000,944.62,0.216727273,0.64
504000,6856000,944.78,0.210060606,0.61
504000,6856000,944.93,0.223333333,0.68
504000,6856000,945.08,0.268242424,0.74
504000,6856000,945.23,0.290121212,0.74
504000,6856000,945.39,0.304666667,0.75
504000,6856000,945.54,0.302121212,0.75
504000,6856000,945.69,0.26,0.75
504000,6856000,945.84,0.230666667,0.68
504000,6856000,946,0.203878788,0.64
504000,6856000,946.15,0.19,0.67
504000,6856000,946.3,0.191090909,0.62
504000,6856000,946.45,0.195090909,0.57
504000,6856000,946.61,0.215151515,0.59
504000,6856000,946.76,0.215878788,0.62
504000,6856000,946.91,0.210181818,0.64
504000,6856000,947.06,0.218242424,0.64
504000,6856000,947.21,0.215454545,0.65
504000,6856000,947.37,0.216363636,0.69
504000,6856000,947.52,0.213939394,0.69
504000,6856000,947.67,0.202242424,0.64
504000,6856000,947.82,0.207151515,0.62
504000,6856000,947.98,0.212666667,0.62
504000,6856000,948.13,0.206,0.6
504000,6856000,948.28,0.190484848,0.62
504000,6856000,948.43,0.194545455,0.61
504000,6856000,948.59,0.210484848,0.59
504000,6856000,948.74,0.217515152,0.65
504000,6856000,948.89,0.220363636,0.66
504000,6856000,949.04,0.215090909,0.62
504000,6856000,949.2,0.197818182,0.63
504000,6856000,949.35,0.172666667,0.6
504000,6856000,949.5,0.178909091,0.63
504000,6856000,949.65,0.197333333,0.65
504000,6856000,949.81,0.205333333,0.65
504000,6856000,949.96,0.214181818,0.68
504000,6856000,950.11,0.202969697,0.64
504000,6856000,950.26,0.200666667,0.63
504000,6856000,950.42,0.202848485,0.65
504000,6856000,950.57,0.190121212,0.65
504000,6856000,950.72,0.193090909,0.64
504000,6856000,950.87,0.212606061,0.65
504000,6856000,951.02,0.218787879,0.63
504000,6856000,951.18,0.210787879,0.58
