Easting,Northing,Depth,Age,Layer.sub,Vsh,Vca,Vcp,Vom,Vev,Vig,Vss,Porosity,K_{mD},PeHg_{MPa},Closure_{m},Vms,Shc,Sgas,Soil,GasColumn,OilColumn,Pc_Pe_{MPa},Pc_{MPa},GOC,OWC,FlowDirection,TotalPressure,LeakOffPressure,Temperature_{C},TWT,Vitrinite,Sublayer Thickness_{m},Sublayer Duration_{My}
   483250.00    ,  6845250.0    , -3765.0874    , -142.50000    ,  7.0029998    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.11642676    , 0.11853506E-03,  9.4543247    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.584091    ,  69.429695    ,  169.03401    , -3765.0874    , 0.20189652    , 0.44006348    , 0.25000000    ,
   483250.00    ,  6845250.0    , -3765.5273    , -142.75000    ,  7.0040002    , 0.94999999    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.50000012E-01, 0.11640124    , 0.11846532E-03,  9.4561625    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.593582    ,  69.439758    ,  169.05557    , -3765.5273    , 0.20189652    , 0.44006348    , 0.25000000    ,
   483250.00    ,  6845250.0    , -3765.9675    , -143.00000    ,  8.0010004    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13065329    , 0.18764475E-02,  3.8001342    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.603081    ,  69.449821    ,  169.07713    , -3765.9675    , 0.20189652    ,  1.0494304    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3767.0168    , -144.06667    ,  8.0019999    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13059160    , 0.18738204E-02,  3.8018918    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.625725    ,  69.473824    ,  169.12854    , -3767.0168    , 0.20189652    ,  1.0494304    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3768.0664    , -145.13333    ,  8.0030003    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13052994    , 0.18711970E-02,  3.8036501    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.648384    ,  69.497841    ,  169.17998    , -3768.0664    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3769.1157    , -146.20000    ,  8.0039997    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13046832    , 0.18685773E-02,  3.8054087    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.671021    ,  69.521843    ,  169.23140    , -3769.1157    , 0.20189652    ,  1.0494305    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3770.1653    , -147.26666    ,  8.0050001    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13040671    , 0.18659614E-02,  3.8071685    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.693680    ,  69.545853    ,  169.28282    , -3770.1653    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3771.2146    , -148.33333    ,  8.0059996    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13034515    , 0.18633489E-02,  3.8089294    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.716331    ,  69.569870    ,  169.33424    , -3771.2146    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3772.2642    , -149.39999    ,  8.0070000    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13028359    , 0.18607484E-02,  3.8106852    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.738976    ,  69.593880    ,  169.38567    , -3772.2642    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3773.3135    , -150.46666    ,  8.0080004    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13022210    , 0.18581434E-02,  3.8124471    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.761627    ,  69.617905    ,  169.43707    , -3773.3135    , 0.20189652    ,  1.0494307    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3774.3630    , -151.53333    ,  8.0089998    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13016061    , 0.18555420E-02,  3.8142102    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.784271    ,  69.641922    ,  169.48851    , -3774.3630    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3775.4124    , -152.59999    ,  8.0100002    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13009916    , 0.18529604E-02,  3.8159628    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.806923    ,  69.665939    ,  169.53993    , -3775.4124    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3776.4619    , -153.66666    ,  8.0109997    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.13003774    , 0.18503662E-02,  3.8177276    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.829575    ,  69.689964    ,  169.59135    , -3776.4619    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
   483250.00    ,  6845250.0    , -3777.5112    , -154.73332    ,  8.0120001    , 0.75000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.25000000    , 0.12997635    , 0.18477838E-02,  3.8194880    ,  0.0000000    ,  405.00000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    ,  0.0000000    , 0.56752588E-42, 0.10000000E+31, 0.10000000E+31, 0.10000000E+31,  76.852219    ,  69.713997    ,  169.64278    , -3777.5112    , 0.20189652    ,  1.0494303    ,  1.0666656    ,
