Layer,Strata,Age,Depth,VshStrata,VshLayer,VcaStrata,VcaLayer,VcpStrata,VcpLayer,VevStrata,VevLayer,VomStrata,VomLayer,VigStrata,VigLayer,YieldStrata,YieldLayer
  0.700000E+01, 0.500000E+01, 0.143000E+03, 0.100000E+01, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.100000E+01,
  0.800000E+01, 0.100000E+01, 0.143000E+03, 0.000000E+00, 0.103156E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.103156E+01, 0.142802E+00,
  0.800000E+01, 0.200000E+01, 0.144067E+03, 0.666667E-01, 0.139107E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.139107E+01, 0.142802E+00,
  0.800000E+01, 0.300000E+01, 0.145133E+03, 0.133333E+00, 0.122969E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.122969E+01, 0.142802E+00,
  0.800000E+01, 0.400000E+01, 0.146200E+03, 0.200000E+00, 0.868031E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.868031E+00, 0.142802E+00,
  0.800000E+01, 0.500000E+01, 0.147267E+03, 0.266667E+00, 0.752983E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.752983E+00, 0.142802E+00,
  0.800000E+01, 0.600000E+01, 0.148333E+03, 0.333333E+00, 0.873859E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.873859E+00, 0.142802E+00,
  0.800000E+01, 0.700000E+01, 0.149400E+03, 0.400000E+00, 0.126639E+01, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.126639E+01, 0.142802E+00,
  0.800000E+01, 0.800000E+01, 0.150467E+03, 0.466667E+00, 0.865128E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.865128E+00, 0.142802E+00,
  0.800000E+01, 0.900000E+01, 0.151533E+03, 0.533333E+00, 0.745666E+00, 0.142802E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.100000E+01, 0.000000E+00, 0.745665E+00, 0.142802E+00,
